Container,CPU Usage (%),Memory Usage (%),Network Usage
shirine_extractor_1,0.31%,0.13%,3.03MB / 5.1MB
shirine_detector_1,795.91%,0.79%,7.63MB / 5.13MB
shirine_combiner_1,0.28%,0.09%,7.67MB / 7.67MB
shirine_extractor_1,4.72%,0.16%,3.05MB / 20.3MB
shirine_detector_1,790.33%,1.21%,22.9MB / 20.5MB
shirine_combiner_1,0.26%,0.09%,23MB / 23MB
shirine_extractor_1,0.38%,0.16%,3.07MB / 35.5MB
shirine_detector_1,795.79%,1.14%,38.1MB / 35.8MB
shirine_combiner_1,0.30%,0.10%,40.9MB / 40.9MB
shirine_extractor_1,0.31%,0.15%,3.09MB / 50.8MB
shirine_detector_1,792.39%,1.14%,55.9MB / 53.8MB
shirine_combiner_1,0.32%,0.10%,56.3MB / 56.3MB
shirine_extractor_1,0.34%,0.15%,3.11MB / 68.5MB
shirine_detector_1,793.85%,1.11%,71.2MB / 69.2MB
shirine_combiner_1,9.91%,0.10%,71.7MB / 71.7MB
shirine_extractor_1,0.38%,0.15%,3.13MB / 83.7MB
shirine_detector_1,797.31%,1.22%,86.4MB / 84.6MB
shirine_combiner_1,9.80%,0.10%,89.7MB / 89.7MB
shirine_extractor_1,0.34%,0.16%,3.15MB / 98.9MB
shirine_detector_1,798.55%,1.19%,102MB / 100MB
shirine_combiner_1,9.72%,0.10%,105MB / 105MB
shirine_extractor_1,0.43%,0.15%,3.17MB / 114MB
shirine_detector_1,795.63%,1.19%,117MB / 115MB
shirine_combiner_1,0.25%,0.10%,121MB / 121MB
shirine_extractor_1,0.34%,0.16%,3.19MB / 129MB
shirine_detector_1,795.35%,1.14%,132MB / 131MB
shirine_combiner_1,9.68%,0.10%,133MB / 133MB
shirine_extractor_1,0.36%,0.15%,3.21MB / 145MB
shirine_detector_1,794.57%,1.19%,147MB / 146MB
shirine_combiner_1,9.86%,0.10%,149MB / 149MB
shirine_extractor_1,0.38%,0.15%,3.23MB / 160MB
shirine_detector_1,729.11%,1.14%,163MB / 162MB
shirine_combiner_1,9.92%,0.10%,167MB / 164MB
shirine_extractor_1,0.34%,0.15%,3.25MB / 175MB
shirine_detector_1,637.54%,1.14%,178MB / 177MB
shirine_combiner_1,9.96%,0.10%,182MB / 182MB
shirine_extractor_1,0.34%,0.15%,3.27MB / 190MB
shirine_detector_1,726.50%,1.19%,193MB / 192MB
shirine_combiner_1,9.71%,0.11%,197MB / 197MB
shirine_extractor_1,0.32%,0.16%,3.3MB / 205MB
shirine_detector_1,794.39%,1.18%,208MB / 208MB
shirine_combiner_1,0.21%,0.10%,213MB / 213MB
shirine_extractor_1,0.31%,0.16%,3.32MB / 221MB
shirine_detector_1,786.97%,1.14%,224MB / 223MB
shirine_combiner_1,1.01%,0.10%,228MB / 228MB
shirine_extractor_1,0.38%,0.15%,3.34MB / 236MB
shirine_detector_1,793.86%,1.20%,239MB / 239MB
shirine_combiner_1,0.70%,0.10%,243MB / 244MB
shirine_extractor_1,0.29%,0.15%,3.36MB / 251MB
shirine_detector_1,791.83%,1.21%,254MB / 254MB
shirine_combiner_1,3.11%,0.09%,259MB / 259MB
shirine_extractor_1,0.29%,0.15%,3.38MB / 266MB
shirine_detector_1,795.23%,1.17%,269MB / 269MB
shirine_combiner_1,9.67%,0.09%,274MB / 274MB
shirine_extractor_1,0.31%,0.15%,3.4MB / 281MB
shirine_detector_1,793.99%,1.20%,284MB / 285MB
shirine_combiner_1,0.27%,0.10%,287MB / 287MB
shirine_extractor_1,0.28%,0.15%,3.42MB / 294MB
shirine_detector_1,637.70%,1.33%,297MB / 300MB
shirine_combiner_1,0.21%,0.11%,302MB / 302MB
shirine_extractor_1,0.28%,0.15%,3.44MB / 309MB
shirine_detector_1,795.00%,1.14%,312MB / 313MB
shirine_combiner_1,0.21%,0.09%,318MB / 318MB
shirine_extractor_1,0.38%,0.15%,3.46MB / 324MB
