Container,CPU Usage,Memory Usage,Network Usage
shirine_extractor_1,0.31%,83.52MiB,3.03MB / 5.1MB
shirine_detector_1,795.91%,507.54MiB,7.63MB / 5.13MB
shirine_combiner_1,0.28%,57.82MiB,7.67MB / 7.67MB
shirine_extractor_1,4.72%,102.79MiB,3.05MB / 20.3MB
shirine_detector_1,790.33%,777.37MiB,22.9MB / 20.5MB
shirine_combiner_1,0.26%,57.82MiB,23MB / 23MB
shirine_extractor_1,0.38%,102.79MiB,3.07MB / 35.5MB
shirine_detector_1,795.79%,732.40MiB,38.1MB / 35.8MB
shirine_combiner_1,0.30%,64.25MiB,40.9MB / 40.9MB
shirine_extractor_1,0.31%,96.37MiB,3.09MB / 50.8MB
shirine_detector_1,792.39%,732.40MiB,55.9MB / 53.8MB
shirine_combiner_1,0.32%,64.25MiB,56.3MB / 56.3MB
shirine_extractor_1,0.34%,96.37MiB,3.11MB / 68.5MB
shirine_detector_1,793.85%,713.13MiB,71.2MB / 69.2MB
shirine_combiner_1,9.91%,64.25MiB,71.7MB / 71.7MB
shirine_extractor_1,0.38%,96.37MiB,3.13MB / 83.7MB
shirine_detector_1,797.31%,783.80MiB,86.4MB / 84.6MB
shirine_combiner_1,9.80%,64.25MiB,89.7MB / 89.7MB
shirine_extractor_1,0.34%,102.79MiB,3.15MB / 98.9MB
shirine_detector_1,798.55%,764.52MiB,102MB / 100MB
shirine_combiner_1,9.72%,64.25MiB,105MB / 105MB
shirine_extractor_1,0.43%,96.37MiB,3.17MB / 114MB
shirine_detector_1,795.63%,764.52MiB,117MB / 115MB
shirine_combiner_1,0.25%,64.25MiB,121MB / 121MB
shirine_extractor_1,0.34%,102.79MiB,3.19MB / 129MB
shirine_detector_1,795.35%,732.40MiB,132MB / 131MB
shirine_combiner_1,9.68%,64.25MiB,133MB / 133MB
shirine_extractor_1,0.36%,96.37MiB,3.21MB / 145MB
shirine_detector_1,794.57%,764.52MiB,147MB / 146MB
shirine_combiner_1,9.86%,64.25MiB,149MB / 149MB
shirine_extractor_1,0.38%,96.37MiB,3.23MB / 160MB
shirine_detector_1,729.11%,732.40MiB,163MB / 162MB
shirine_combiner_1,9.92%,64.25MiB,167MB / 164MB
shirine_extractor_1,0.34%,96.37MiB,3.25MB / 175MB
shirine_detector_1,637.54%,732.40MiB,178MB / 177MB
shirine_combiner_1,9.96%,64.25MiB,182MB / 182MB
shirine_extractor_1,0.34%,96.37MiB,3.27MB / 190MB
shirine_detector_1,726.50%,764.52MiB,193MB / 192MB
