Container,CPU Usage (%),Memory Usage (%),Network Usage
k8s_extractor_extractor-55fd579866-4ntds_default_ccd0ec2c-300e-4b84-bb9b-3d0224b01169_0,0.17%,0.15%,0B / 0B
k8s_extractor_extractor-55fd579866-4ntds_default_ccd0ec2c-300e-4b84-bb9b-3d0224b01169_0,0.15%,0.15%,0B / 0B
k8s_extractor_extractor-55fd579866-4ntds_default_ccd0ec2c-300e-4b84-bb9b-3d0224b01169_0,0.18%,0.15%,0B / 0B
k8s_extractor_extractor-55fd579866-4ntds_default_ccd0ec2c-300e-4b84-bb9b-3d0224b01169_0,0.17%,0.15%,0B / 0B
k8s_extractor_extractor-55fd579866-4ntds_default_ccd0ec2c-300e-4b84-bb9b-3d0224b01169_0,0.18%,0.15%,0B / 0B
k8s_extractor_extractor-55fd579866-4ntds_default_ccd0ec2c-300e-4b84-bb9b-3d0224b01169_0,0.18%,0.15%,0B / 0B
k8s_extractor_extractor-55fd579866-4ntds_default_ccd0ec2c-300e-4b84-bb9b-3d0224b01169_0,0.19%,0.15%,0B / 0B
k8s_extractor_extractor-55fd579866-4ntds_default_ccd0ec2c-300e-4b84-bb9b-3d0224b01169_0,0.17%,0.15%,0B / 0B
k8s_extractor_extractor-55fd579866-4ntds_default_ccd0ec2c-300e-4b84-bb9b-3d0224b01169_0,0.16%,0.15%,0B / 0B
k8s_extractor_extractor-55fd579866-4ntds_default_ccd0ec2c-300e-4b84-bb9b-3d0224b01169_0,0.21%,0.15%,0B / 0B
k8s_extractor_extractor-55fd579866-4ntds_default_ccd0ec2c-300e-4b84-bb9b-3d0224b01169_0,0.14%,0.16%,0B / 0B
k8s_extractor_extractor-55fd579866-4ntds_default_ccd0ec2c-300e-4b84-bb9b-3d0224b01169_0,0.22%,0.15%,0B / 0B
k8s_extractor_extractor-55fd579866-4ntds_default_ccd0ec2c-300e-4b84-bb9b-3d0224b01169_0,0.18%,0.16%,0B / 0B
k8s_extractor_extractor-55fd579866-4ntds_default_ccd0ec2c-300e-4b84-bb9b-3d0224b01169_0,0.18%,0.16%,0B / 0B
k8s_extractor_extractor-55fd579866-4ntds_default_ccd0ec2c-300e-4b84-bb9b-3d0224b01169_0,0.19%,0.16%,0B / 0B
k8s_extractor_extractor-55fd579866-4ntds_default_ccd0ec2c-300e-4b84-bb9b-3d0224b01169_0,0.18%,0.15%,0B / 0B
k8s_extractor_extractor-55fd579866-4ntds_default_ccd0ec2c-300e-4b84-bb9b-3d0224b01169_0,0.15%,0.16%,0B / 0B
k8s_extractor_extractor-55fd579866-4ntds_default_ccd0ec2c-300e-4b84-bb9b-3d0224b01169_0,0.18%,0.15%,0B / 0B
k8s_extractor_extractor-55fd579866-4ntds_default_ccd0ec2c-300e-4b84-bb9b-3d0224b01169_0,0.21%,0.15%,0B / 0B
k8s_extractor_extractor-55fd579866-4ntds_default_ccd0ec2c-300e-4b84-bb9b-3d0224b01169_0,5.09%,0.15%,0B / 0B
