Container,CPU Usage (%),Memory Usage (%),Network Usage
k8s_extractor_extractor-55fd579866-4ntds_default_ccd0ec2c-300e-4b84-bb9b-3d0224b01169_0,0.17%,96.37MiB,0B / 0B
k8s_extractor_extractor-55fd579866-4ntds_default_ccd0ec2c-300e-4b84-bb9b-3d0224b01169_0,0.15%,96.37MiB,0B / 0B
k8s_extractor_extractor-55fd579866-4ntds_default_ccd0ec2c-300e-4b84-bb9b-3d0224b01169_0,0.18%,96.37MiB,0B / 0B
k8s_extractor_extractor-55fd579866-4ntds_default_ccd0ec2c-300e-4b84-bb9b-3d0224b01169_0,0.17%,96.37MiB,0B / 0B
k8s_extractor_extractor-55fd579866-4ntds_default_ccd0ec2c-300e-4b84-bb9b-3d0224b01169_0,0.18%,96.37MiB,0B / 0B
k8s_extractor_extractor-55fd579866-4ntds_default_ccd0ec2c-300e-4b84-bb9b-3d0224b01169_0,0.18%,96.37MiB,0B / 0B
k8s_extractor_extractor-55fd579866-4ntds_default_ccd0ec2c-300e-4b84-bb9b-3d0224b01169_0,0.19%,96.37MiB,0B / 0B
k8s_extractor_extractor-55fd579866-4ntds_default_ccd0ec2c-300e-4b84-bb9b-3d0224b01169_0,0.17%,96.37MiB,0B / 0B
k8s_extractor_extractor-55fd579866-4ntds_default_ccd0ec2c-300e-4b84-bb9b-3d0224b01169_0,0.16%,96.37MiB,0B / 0B
k8s_extractor_extractor-55fd579866-4ntds_default_ccd0ec2c-300e-4b84-bb9b-3d0224b01169_0,0.21%,96.37MiB,0B / 0B
k8s_extractor_extractor-55fd579866-4ntds_default_ccd0ec2c-300e-4b84-bb9b-3d0224b01169_0,0.14%,102.79MiB,0B / 0B
k8s_extractor_extractor-55fd579866-4ntds_default_ccd0ec2c-300e-4b84-bb9b-3d0224b01169_0,0.22%,96.37MiB,0B / 0B
k8s_extractor_extractor-55fd579866-4ntds_default_ccd0ec2c-300e-4b84-bb9b-3d0224b01169_0,0.18%,102.79MiB,0B / 0B
k8s_extractor_extractor-55fd579866-4ntds_default_ccd0ec2c-300e-4b84-bb9b-3d0224b01169_0,0.18%,102.79MiB,0B / 0B
k8s_extractor_extractor-55fd579866-4ntds_default_ccd0ec2c-300e-4b84-bb9b-3d0224b01169_0,0.19%,102.79MiB,0B / 0B
k8s_extractor_extractor-55fd579866-4ntds_default_ccd0ec2c-300e-4b84-bb9b-3d0224b01169_0,0.18%,96.37MiB,0B / 0B
k8s_extractor_extractor-55fd579866-4ntds_default_ccd0ec2c-300e-4b84-bb9b-3d0224b01169_0,0.15%,102.79MiB,0B / 0B
k8s_extractor_extractor-55fd579866-4ntds_default_ccd0ec2c-300e-4b84-bb9b-3d0224b01169_0,0.18%,96.37MiB,0B / 0B
k8s_extractor_extractor-55fd579866-4ntds_default_ccd0ec2c-300e-4b84-bb9b-3d0224b01169_0,0.21%,96.37MiB,0B / 0B
k8s_extractor_extractor-55fd579866-4ntds_default_ccd0ec2c-300e-4b84-bb9b-3d0224b01169_0,5.09%,96.37MiB,0B / 0B
k8s_extractor_extractor-55fd579866-4ntds_default_ccd0ec2c-300e-4b84-bb9b-3d0224b01169_0,0.17%,96.37MiB,0B / 0B
