Container,CPU Usage (%),Memory Usage (%),Network Usage
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,0.02%,0.07%,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,0.02%,0.07%,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,0.02%,0.07%,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,0.02%,0.07%,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,0.02%,0.07%,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,0.10%,0.13%,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,0.10%,0.14%,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,0.12%,0.14%,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,0.09%,0.14%,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,0.12%,0.14%,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,0.10%,0.14%,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,0.10%,0.14%,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,0.12%,0.14%,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,0.09%,0.14%,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,0.10%,0.14%,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,0.10%,0.14%,0B / 0B
