Container,CPU Usage (%),Memory Usage (%),Network Usage
k8s_combiner_combiner-7b87cffb7f-jjxvz_default_3a40b02a-9e94-4963-8b2b-7be1c0b4e416_0,0.00%,0.08%,0B / 0B
k8s_combiner_combiner-7b87cffb7f-jjxvz_default_3a40b02a-9e94-4963-8b2b-7be1c0b4e416_0,0.00%,0.09%,0B / 0B
k8s_combiner_combiner-7b87cffb7f-jjxvz_default_3a40b02a-9e94-4963-8b2b-7be1c0b4e416_0,0.00%,0.08%,0B / 0B
k8s_combiner_combiner-7b87cffb7f-jjxvz_default_3a40b02a-9e94-4963-8b2b-7be1c0b4e416_0,0.00%,0.09%,0B / 0B
k8s_combiner_combiner-7b87cffb7f-jjxvz_default_3a40b02a-9e94-4963-8b2b-7be1c0b4e416_0,0.00%,0.08%,0B / 0B
k8s_combiner_combiner-7b87cffb7f-jjxvz_default_3a40b02a-9e94-4963-8b2b-7be1c0b4e416_0,0.00%,0.09%,0B / 0B
k8s_combiner_combiner-7b87cffb7f-jjxvz_default_3a40b02a-9e94-4963-8b2b-7be1c0b4e416_0,0.00%,0.09%,0B / 0B
k8s_combiner_combiner-7b87cffb7f-jjxvz_default_3a40b02a-9e94-4963-8b2b-7be1c0b4e416_0,0.00%,0.10%,0B / 0B
k8s_combiner_combiner-7b87cffb7f-jjxvz_default_3a40b02a-9e94-4963-8b2b-7be1c0b4e416_0,0.00%,0.10%,0B / 0B
k8s_combiner_combiner-7b87cffb7f-jjxvz_default_3a40b02a-9e94-4963-8b2b-7be1c0b4e416_0,0.00%,0.10%,0B / 0B
k8s_combiner_combiner-7b87cffb7f-jjxvz_default_3a40b02a-9e94-4963-8b2b-7be1c0b4e416_0,0.00%,0.10%,0B / 0B
k8s_combiner_combiner-7b87cffb7f-jjxvz_default_3a40b02a-9e94-4963-8b2b-7be1c0b4e416_0,0.00%,0.10%,0B / 0B
k8s_combiner_combiner-7b87cffb7f-jjxvz_default_3a40b02a-9e94-4963-8b2b-7be1c0b4e416_0,0.00%,0.10%,0B / 0B
k8s_combiner_combiner-7b87cffb7f-jjxvz_default_3a40b02a-9e94-4963-8b2b-7be1c0b4e416_0,0.00%,0.10%,0B / 0B
k8s_combiner_combiner-7b87cffb7f-jjxvz_default_3a40b02a-9e94-4963-8b2b-7be1c0b4e416_0,0.00%,0.10%,0B / 0B
k8s_combiner_combiner-7b87cffb7f-jjxvz_default_3a40b02a-9e94-4963-8b2b-7be1c0b4e416_0,0.00%,0.10%,0B / 0B
