Container,CPU Usage (%),Memory Usage (%),Network Usage
shirine_extractor_1,0.01%,44.97MiB,3.02MB / 2.9MB
shirine_detector_1,781.54%,366.20MiB,2.89MB / 5.58kB
shirine_combiner_1,12.26%,51.40MiB,5.83MB / 5.12MB
shirine_extractor_1,0.20%,89.94MiB,3.04MB / 17.3MB
shirine_detector_1,741.45%,674.58MiB,20.2MB / 17.5MB
shirine_combiner_1,0.02%,51.40MiB,23.3MB / 20.5MB
shirine_extractor_1,0.24%,89.94MiB,3.07MB / 34.6MB
shirine_detector_1,463.77%,713.13MiB,40.4MB / 37.9MB
shirine_combiner_1,0.02%,51.40MiB,40.8MB / 35.8MB
shirine_extractor_1,0.20%,89.94MiB,3.1MB / 51.9MB
shirine_detector_1,337.89%,803.07MiB,57.8MB / 55.4MB
shirine_combiner_1,0.02%,51.40MiB,58.3MB / 51.2MB
shirine_extractor_1,6.79%,89.94MiB,3.12MB / 69.2MB
shirine_detector_1,795.70%,687.43MiB,75.1MB / 72.9MB
shirine_combiner_1,0.06%,51.40MiB,75.8MB / 66.6MB
shirine_extractor_1,6.82%,89.94MiB,3.16MB / 89.4MB
shirine_detector_1,717.73%,745.25MiB,92.4MB / 90.5MB
shirine_combiner_1,0.02%,51.40MiB,93.4MB / 82MB
shirine_extractor_1,0.14%,89.94MiB,3.18MB / 104MB
shirine_detector_1,795.77%,751.68MiB,110MB / 108MB
shirine_combiner_1,0.03%,51.40MiB,111MB / 97.5MB
shirine_extractor_1,7.89%,89.94MiB,3.21MB / 121MB
shirine_detector_1,796.58%,700.28MiB,127MB / 126MB
shirine_combiner_1,0.03%,51.40MiB,128MB / 113MB
shirine_extractor_1,6.92%,89.94MiB,3.23MB / 138MB
shirine_detector_1,794.18%,815.92MiB,144MB / 143MB
shirine_combiner_1,0.03%,51.40MiB,146MB / 128MB
shirine_extractor_1,6.90%,89.94MiB,3.26MB / 156MB
shirine_detector_1,797.30%,681.01MiB,162MB / 161MB
shirine_combiner_1,0.03%,51.40MiB,164MB / 144MB
shirine_extractor_1,7.20%,89.94MiB,3.28MB / 173MB
shirine_detector_1,796.62%,616.76MiB,179MB / 178MB
shirine_combiner_1,0.03%,51.40MiB,181MB / 159MB
shirine_extractor_1,0.18%,89.94MiB,3.31MB / 190MB
shirine_detector_1,729.59%,777.37MiB,194MB / 193MB
shirine_combiner_1,0.03%,51.40MiB,199MB / 174MB
shirine_extractor_1,0.20%,89.94MiB,3.34MB / 208MB
shirine_detector_1,461.59%,642.46MiB,214MB / 213MB
shirine_combiner_1,0.02%,51.40MiB,216MB / 190MB
shirine_extractor_1,0.19%,89.94MiB,3.37MB / 225MB
shirine_detector_1,473.38%,648.88MiB,228MB / 228MB
shirine_combiner_1,11.31%,51.40MiB,231MB / 203MB
shirine_extractor_1,0.21%,89.94MiB,3.39MB / 242MB
shirine_detector_1,725.41%,623.18MiB,245MB / 245MB
shirine_combiner_1,0.02%,51.40MiB,248MB / 218MB
shirine_extractor_1,0.20%,89.94MiB,3.42MB / 259MB
shirine_detector_1,710.24%,687.43MiB,263MB / 263MB
shirine_combiner_1,0.03%,51.40MiB,266MB / 233MB
shirine_extractor_1,6.87%,89.94MiB,3.44MB / 274MB
shirine_detector_1,538.32%,815.92MiB,277MB / 278MB
shirine_combiner_1,0.02%,51.40MiB,283MB / 249MB
shirine_extractor_1,0.17%,89.94MiB,3.47MB / 291MB
shirine_detector_1,787.79%,687.43MiB,295MB / 295MB
shirine_combiner_1,11.81%,51.40MiB,301MB / 264MB
shirine_extractor_1,0.18%,89.94MiB,3.49MB / 308MB
shirine_detector_1,794.37%,674.58MiB,312MB / 313MB
shirine_combiner_1,11.75%,51.40MiB,318MB / 279MB
shirine_extractor_1,0.14%,89.94MiB,3.52MB / 323MB
shirine_detector_1,798.68%,661.73MiB,329MB / 330MB
shirine_combiner_1,0.03%,51.40MiB,333MB / 292MB
shirine_extractor_1,6.95%,89.94MiB,3.54MB / 340MB
shirine_detector_1,467.55%,693.85MiB,346MB / 347MB
shirine_combiner_1,0.04%,64.25MiB,350MB / 308MB
shirine_extractor_1,0.17%,89.94MiB,3.57MB / 357MB
shirine_detector_1,798.86%,700.28MiB,361MB / 362MB
shirine_combiner_1,11.86%,51.40MiB,367MB / 323MB
shirine_extractor_1,0.14%,89.94MiB,3.59MB / 372MB
shirine_detector_1,795.50%,796.65MiB,378MB / 379MB
