Container,CPU Usage (%),Memory Usage (%),Network Usage
shirine_extractor_1,0.19%,0.13%,3.02MB / 2.91MB
shirine_detector_1,710.09%,0.86%,8.66MB / 5.83MB
shirine_combiner_1,0.00%,0.10%,8.73MB / 7.67MB
shirine_extractor_1,6.15%,0.14%,3.05MB / 23.1MB
shirine_detector_1,795.60%,1.26%,26MB / 23.3MB
shirine_combiner_1,0.00%,0.10%,26.2MB / 23MB
shirine_extractor_1,0.18%,0.14%,3.08MB / 40.4MB
shirine_detector_1,794.63%,1.03%,43.3MB / 40.8MB
shirine_combiner_1,11.58%,0.09%,43.6MB / 38.4MB
shirine_extractor_1,0.23%,0.14%,3.11MB / 57.7MB
shirine_detector_1,788.91%,1.06%,60.6MB / 58.3MB
shirine_combiner_1,11.83%,0.09%,64MB / 56.3MB
shirine_extractor_1,0.20%,0.14%,3.13MB / 75MB
shirine_detector_1,796.23%,1.06%,78MB / 75.8MB
shirine_combiner_1,11.04%,0.11%,81.6MB / 71.7MB
shirine_extractor_1,0.13%,0.14%,3.16MB / 92.3MB
shirine_detector_1,796.24%,1.11%,95.3MB / 93.4MB
shirine_combiner_1,11.49%,0.10%,99.1MB / 87.1MB
shirine_extractor_1,0.18%,0.14%,3.19MB / 110MB
shirine_detector_1,797.58%,1.28%,113MB / 111MB
shirine_combiner_1,0.00%,0.10%,117MB / 103MB
shirine_extractor_1,0.22%,0.14%,3.22MB / 127MB
shirine_detector_1,797.27%,0.97%,130MB / 128MB
shirine_combiner_1,0.00%,0.11%,131MB / 115MB
shirine_extractor_1,0.18%,0.14%,3.24MB / 144MB
shirine_detector_1,796.41%,1.09%,147MB / 146MB
shirine_combiner_1,0.00%,0.11%,149MB / 131MB
shirine_extractor_1,0.18%,0.14%,3.27MB / 161MB
shirine_detector_1,726.81%,0.97%,165MB / 164MB
shirine_combiner_1,0.00%,0.11%,166MB / 146MB
shirine_extractor_1,0.16%,0.14%,3.29MB / 179MB
shirine_detector_1,797.96%,1.02%,182MB / 181MB
shirine_combiner_1,11.08%,0.11%,184MB / 162MB
shirine_extractor_1,0.16%,0.14%,3.32MB / 196MB
shirine_detector_1,797.49%,1.00%,199MB / 199MB
shirine_combiner_1,0.00%,0.11%,201MB / 177MB
shirine_extractor_1,6.32%,0.14%,3.34MB / 210MB
shirine_detector_1,799.19%,1.06%,216MB / 216MB
shirine_combiner_1,0.00%,0.11%,219MB / 192MB
shirine_extractor_1,6.26%,0.14%,3.37MB / 228MB
shirine_detector_1,795.23%,1.26%,234MB / 234MB
shirine_combiner_1,0.00%,0.11%,236MB / 208MB
shirine_extractor_1,0.21%,0.14%,3.39MB / 245MB
shirine_detector_1,796.21%,1.17%,251MB / 251MB
shirine_combiner_1,0.00%,0.10%,254MB / 223MB
shirine_extractor_1,0.18%,0.14%,3.42MB / 262MB
shirine_detector_1,630.08%,1.09%,268MB / 269MB
shirine_combiner_1,0.00%,0.11%,271MB / 238MB
shirine_extractor_1,0.16%,0.14%,3.45MB / 280MB
shirine_detector_1,477.95%,1.10%,286MB / 286MB
shirine_combiner_1,0.00%,0.11%,289MB / 254MB
