Container,CPU Usage (%),Memory Usage (%),Network Usage
shirine_extractor_1,0.19%,83.52MiB,3.02MB / 2.91MB
shirine_detector_1,710.09%,552.51MiB,8.66MB / 5.83MB
shirine_combiner_1,0.00%,64.25MiB,8.73MB / 7.67MB
shirine_extractor_1,6.15%,89.94MiB,3.05MB / 23.1MB
shirine_detector_1,795.60%,809.50MiB,26MB / 23.3MB
shirine_combiner_1,0.00%,64.25MiB,26.2MB / 23MB
shirine_extractor_1,0.18%,89.94MiB,3.08MB / 40.4MB
shirine_detector_1,794.63%,661.73MiB,43.3MB / 40.8MB
shirine_combiner_1,11.58%,57.82MiB,43.6MB / 38.4MB
shirine_extractor_1,0.23%,89.94MiB,3.11MB / 57.7MB
shirine_detector_1,788.91%,681.01MiB,60.6MB / 58.3MB
shirine_combiner_1,11.83%,57.82MiB,64MB / 56.3MB
shirine_extractor_1,0.20%,89.94MiB,3.13MB / 75MB
shirine_detector_1,796.23%,681.01MiB,78MB / 75.8MB
shirine_combiner_1,11.04%,70.67MiB,81.6MB / 71.7MB
shirine_extractor_1,0.13%,89.94MiB,3.16MB / 92.3MB
shirine_detector_1,796.24%,713.13MiB,95.3MB / 93.4MB
shirine_combiner_1,11.49%,64.25MiB,99.1MB / 87.1MB
shirine_extractor_1,0.18%,89.94MiB,3.19MB / 110MB
shirine_detector_1,797.58%,822.35MiB,113MB / 111MB
shirine_combiner_1,0.00%,64.25MiB,117MB / 103MB
shirine_extractor_1,0.22%,89.94MiB,3.22MB / 127MB
shirine_detector_1,797.27%,623.18MiB,130MB / 128MB
shirine_combiner_1,0.00%,70.67MiB,131MB / 115MB
shirine_extractor_1,0.18%,89.94MiB,3.24MB / 144MB
shirine_detector_1,796.41%,700.28MiB,147MB / 146MB
shirine_combiner_1,0.00%,70.67MiB,149MB / 131MB
shirine_extractor_1,0.18%,89.94MiB,3.27MB / 161MB
shirine_detector_1,726.81%,623.18MiB,165MB / 164MB
shirine_combiner_1,0.00%,70.67MiB,166MB / 146MB
shirine_extractor_1,0.16%,89.94MiB,3.29MB / 179MB
shirine_detector_1,797.96%,655.31MiB,182MB / 181MB
shirine_combiner_1,11.08%,70.67MiB,184MB / 162MB
shirine_extractor_1,0.16%,89.94MiB,3.32MB / 196MB
shirine_detector_1,797.49%,642.46MiB,199MB / 199MB
shirine_combiner_1,0.00%,70.67MiB,201MB / 177MB
shirine_extractor_1,6.32%,89.94MiB,3.34MB / 210MB
shirine_detector_1,799.19%,681.01MiB,216MB / 216MB
shirine_combiner_1,0.00%,70.67MiB,219MB / 192MB
shirine_extractor_1,6.26%,89.94MiB,3.37MB / 228MB
shirine_detector_1,795.23%,809.50MiB,234MB / 234MB
shirine_combiner_1,0.00%,70.67MiB,236MB / 208MB
shirine_extractor_1,0.21%,89.94MiB,3.39MB / 245MB
shirine_detector_1,796.21%,751.68MiB,251MB / 251MB
shirine_combiner_1,0.00%,64.25MiB,254MB / 223MB
shirine_extractor_1,0.18%,89.94MiB,3.42MB / 262MB
shirine_detector_1,630.08%,700.28MiB,268MB / 269MB
shirine_combiner_1,0.00%,70.67MiB,271MB / 238MB
shirine_extractor_1,0.16%,89.94MiB,3.45MB / 280MB
shirine_detector_1,477.95%,706.70MiB,286MB / 286MB
shirine_combiner_1,0.00%,70.67MiB,289MB / 254MB
shirine_extractor_1,0.19%,96.37MiB,3.47MB / 297MB
shirine_detector_1,782.93%,693.85MiB,300MB / 301MB
shirine_combiner_1,0.00%,70.67MiB,303MB / 267MB
shirine_extractor_1,0.13%,89.94MiB,3.5MB / 314MB
shirine_detector_1,794.37%,642.46MiB,317MB / 318MB
shirine_combiner_1,0.00%,70.67MiB,321MB / 282MB
shirine_extractor_1,6.24%,89.94MiB,3.53MB / 331MB
shirine_detector_1,794.66%,700.28MiB,335MB / 335MB
shirine_combiner_1,0.00%,70.67MiB,338MB / 297MB
shirine_extractor_1,0.19%,89.94MiB,3.55MB / 346MB
shirine_detector_1,485.26%,642.46MiB,349MB / 350MB
shirine_combiner_1,0.00%,70.67MiB,352MB / 310MB
shirine_extractor_1,0.22%,89.94MiB,3.57MB / 363MB
shirine_detector_1,797.00%,719.55MiB,366MB / 367MB
shirine_combiner_1,11.06%,70.67MiB,370MB / 325MB
shirine_extractor_1,1.22%,89.94MiB,3.6MB / 380MB
shirine_detector_1,793.27%,713.13MiB,384MB / 385MB
shirine_combiner_1,0.00%,70.67MiB,387MB / 340MB
shirine_extractor_1,0.19%,89.94MiB,3.62MB / 395MB
shirine_detector_1,269.10%,623.18MiB,401MB / 402MB
shirine_combiner_1,0.00%,70.67MiB,402MB / 353MB
shirine_extractor_1,0.22%,96.37MiB,3.65MB / 412MB
shirine_detector_1,795.79%,719.55MiB,415MB / 417MB
shirine_combiner_1,0.00%,64.25MiB,419MB / 369MB
shirine_extractor_1,6.16%,89.94MiB,3.67MB / 429MB
shirine_detector_1,799.92%,668.16MiB,433MB / 434MB
shirine_combiner_1,0.00%,70.67MiB,437MB / 384MB
shirine_extractor_1,0.16%,89.94MiB,3.69MB / 444MB
shirine_detector_1,480.09%,636.03MiB,450MB / 452MB
shirine_combiner_1,0.00%,70.67MiB,454MB / 399MB
shirine_extractor_1,0.15%,89.94MiB,3.72MB / 461MB
shirine_detector_1,799.81%,623.18MiB,464MB / 466MB
shirine_combiner_1,11.31%,70.67MiB,472MB / 412MB
shirine_extractor_1,0.17%,89.94MiB,3.74MB / 475MB
shirine_detector_1,617.09%,636.03MiB,482MB / 484MB
shirine_combiner_1,0.00%,70.67MiB,486MB / 428MB
shirine_extractor_1,0.15%,96.37MiB,3.77MB / 492MB
shirine_detector_1,798.57%,655.31MiB,496MB / 499MB
shirine_combiner_1,10.97%,70.67MiB,504MB / 443MB
shirine_extractor_1,6.44%,89.94MiB,3.79MB / 507MB
shirine_detector_1,499.38%,642.46MiB,513MB / 516MB
shirine_combiner_1,0.00%,70.67MiB,518MB / 456MB
shirine_extractor_1,0.17%,96.37MiB,3.82MB / 524MB
shirine_detector_1,768.84%,681.01MiB,528MB / 531MB
shirine_combiner_1,10.80%,70.67MiB,533MB / 469MB
shirine_extractor_1,0.14%,89.94MiB,3.84MB / 541MB
shirine_detector_1,732.58%,706.70MiB,542MB / 545MB
shirine_combiner_1,0.00%,70.67MiB,550MB / 484MB
shirine_extractor_1,0.24%,89.94MiB,3.86MB / 556MB
shirine_detector_1,712.92%,706.70MiB,559MB / 563MB
shirine_combiner_1,0.00%,70.67MiB,565MB / 497MB
shirine_extractor_1,0.13%,89.94MiB,3.89MB / 573MB
shirine_detector_1,781.76%,687.43MiB,577MB / 580MB
shirine_combiner_1,0.00%,70.67MiB,583MB / 512MB
shirine_extractor_1,0.20%,89.94MiB,3.91MB / 587MB
shirine_detector_1,519.55%,674.58MiB,591MB / 595MB
shirine_combiner_1,0.00%,70.67MiB,597MB / 525MB
shirine_extractor_1,0.21%,89.94MiB,3.93MB / 602MB
shirine_detector_1,794.87%,706.70MiB,608MB / 612MB
shirine_combiner_1,0.00%,70.67MiB,614MB / 540MB
shirine_extractor_1,6.39%,96.37MiB,3.96MB / 619MB
shirine_detector_1,794.82%,648.88MiB,623MB / 627MB
shirine_combiner_1,0.00%,70.67MiB,629MB / 553MB
shirine_extractor_1,0.18%,89.94MiB,3.98MB / 633MB
shirine_detector_1,795.21%,693.85MiB,637MB / 641MB
shirine_combiner_1,10.76%,70.67MiB,646MB / 568MB
shirine_extractor_1,0.15%,89.94MiB,4.01MB / 648MB
shirine_detector_1,625.04%,725.98MiB,652MB / 656MB
shirine_combiner_1,0.00%,70.67MiB,661MB / 581MB
shirine_extractor_1,0.22%,89.94MiB,4.03MB / 665MB
shirine_detector_1,703.76%,655.31MiB,669MB / 674MB
shirine_combiner_1,0.00%,70.67MiB,676MB / 594MB
shirine_extractor_1,6.24%,89.94MiB,4.05MB / 680MB
shirine_detector_1,795.80%,700.28MiB,686MB / 691MB
shirine_combiner_1,0.00%,70.67MiB,693MB / 609MB
shirine_extractor_1,7.01%,89.94MiB,4.08MB / 697MB
shirine_detector_1,795.53%,681.01MiB,701MB / 706MB
shirine_combiner_1,0.00%,70.67MiB,708MB / 622MB
shirine_extractor_1,0.13%,96.37MiB,4.1MB / 711MB
shirine_detector_1,795.72%,674.58MiB,715MB / 721MB
shirine_combiner_1,0.00%,70.67MiB,723MB / 635MB
shirine_extractor_1,0.19%,89.94MiB,4.12MB / 726MB
shirine_detector_1,728.36%,700.28MiB,730MB / 735MB
shirine_combiner_1,3.36%,70.67MiB,737MB / 648MB
shirine_extractor_1,0.18%,89.94MiB,4.15MB / 743MB
shirine_detector_1,728.76%,738.83MiB,744MB / 750MB
shirine_combiner_1,0.00%,70.67MiB,752MB / 661MB
shirine_extractor_1,0.20%,96.37MiB,4.17MB / 758MB
shirine_detector_1,787.55%,661.73MiB,762MB / 768MB
shirine_combiner_1,12.35%,70.67MiB,770MB / 677MB
shirine_extractor_1,0.21%,96.37MiB,4.19MB / 772MB
shirine_detector_1,791.83%,725.98MiB,776MB / 782MB
shirine_combiner_1,0.00%,77.09MiB,787MB / 692MB
shirine_extractor_1,0.20%,89.94MiB,4.22MB / 787MB
shirine_detector_1,685.17%,668.16MiB,791MB / 800MB
shirine_combiner_1,0.00%,70.67MiB,802MB / 705MB
shirine_extractor_1,0.21%,89.94MiB,4.24MB / 804MB
shirine_detector_1,727.15%,661.73MiB,808MB / 815MB
shirine_combiner_1,0.00%,70.67MiB,816MB / 718MB
shirine_extractor_1,0.19%,89.94MiB,4.27MB / 818MB
shirine_detector_1,639.22%,693.85MiB,822MB / 829MB
shirine_combiner_1,10.83%,70.67MiB,831MB / 730MB
shirine_extractor_1,0.21%,89.94MiB,4.29MB / 833MB
shirine_detector_1,798.44%,725.98MiB,840MB / 846MB
shirine_combiner_1,0.00%,70.67MiB,848MB / 746MB
shirine_extractor_1,0.19%,96.37MiB,4.31MB / 847MB
shirine_detector_1,471.15%,642.46MiB,854MB / 861MB
shirine_combiner_1,0.00%,77.09MiB,863MB / 759MB
shirine_extractor_1,0.19%,89.94MiB,4.34MB / 865MB
shirine_detector_1,727.37%,629.61MiB,869MB / 876MB
shirine_combiner_1,0.00%,70.67MiB,878MB / 772MB
shirine_extractor_1,0.20%,96.37MiB,4.36MB / 882MB
shirine_detector_1,440.15%,655.31MiB,886MB / 893MB
shirine_combiner_1,13.80%,64.25MiB,896MB / 787MB
shirine_extractor_1,0.20%,96.37MiB,4.39MB / 898MB
shirine_detector_1,465.84%,629.61MiB,906MB / 914MB
shirine_combiner_1,0.00%,70.67MiB,916MB / 805MB
shirine_extractor_1,0.18%,96.37MiB,4.42MB / 917MB
shirine_detector_1,795.83%,636.03MiB,923MB / 930MB
shirine_combiner_1,17.47%,70.67MiB,938MB / 819MB
shirine_extractor_1,0.14%,96.37MiB,4.45MB / 939MB
shirine_detector_1,351.88%,636.03MiB,944MB / 952MB
shirine_combiner_1,0.00%,77.09MiB,955MB / 837MB
shirine_extractor_1,6.81%,89.94MiB,4.48MB / 962MB
shirine_detector_1,794.80%,700.28MiB,966MB / 975MB
shirine_combiner_1,0.00%,77.09MiB,977MB / 856MB
shirine_extractor_1,0.19%,96.37MiB,4.5MB / 976MB
shirine_detector_1,450.20%,629.61MiB,984MB / 993MB
shirine_combiner_1,0.00%,77.09MiB,995MB / 871MB
shirine_extractor_1,0.15%,96.37MiB,4.53MB / 993MB
shirine_detector_1,731.53%,623.18MiB,997MB / 1.01GB
shirine_combiner_1,12.77%,70.67MiB,1.01GB / 883MB
shirine_extractor_1,0.20%,96.37MiB,4.55MB / 1.01GB
shirine_detector_1,725.11%,655.31MiB,1.02GB / 1.03GB
shirine_combiner_1,0.00%,77.09MiB,1.03GB / 897MB
shirine_extractor_1,6.30%,96.37MiB,4.58MB / 1.03GB
shirine_detector_1,794.59%,636.03MiB,1.03GB / 1.04GB
shirine_combiner_1,0.00%,70.67MiB,1.04GB / 913MB
shirine_extractor_1,6.49%,96.37MiB,4.59MB / 1.04GB
